Analog in 1	Analog in 1	Analog in 2
U1/V	U1/V	U2/V

0.33	0.33	2.64
4.38	4.38	3.45
3.45	3.45	2.25
0.00	0.00	2.23
3.36	3.36	3.53
4.50	4.50	2.58
0.43	0.43	2.02
1.91	1.91	3.29
4.93	4.93	2.95
1.54	1.54	2.00
0.73	0.73	2.84
4.69	4.69	3.33
2.90	2.90	2.14
0.04	0.04	2.39
3.85	3.85	3.54
4.08	4.08	2.43
0.15	0.15	2.09
2.52	2.52	3.42
4.81	4.81	2.78
1.02	1.02	1.99
1.15	1.15	3.05
4.86	4.86	3.17
2.29	2.29	2.06
0.27	0.27	2.57
4.27	4.27	3.48
3.60	3.60	2.29
0.01	0.01	2.19
3.12	3.12	3.51
4.59	4.59	2.63
0.57	0.57	2.00
1.66	1.66	3.23
4.91	4.91	3.02
1.78	1.78	2.01
0.57	0.57	2.76
4.57	4.57	3.37
3.12	3.12	2.17
0.01	0.01	2.33
3.66	3.66	3.54
4.27	4.27	2.48
0.27	0.27	2.06
2.27	2.27	3.37
4.86	4.86	2.85
1.21	1.21	1.98
0.99	0.99	2.95
4.80	4.80	3.25
2.52	2.52	2.09
0.15	0.15	2.49
4.08	4.08	3.51
3.85	3.85	2.34
0.06	0.06	2.14
2.90	2.90	3.47
4.69	4.69	2.69
0.73	0.73	1.99
1.42	1.42	3.15
4.90	4.90	3.08
1.97	1.97	2.03
0.42	0.42	2.69
4.45	4.45	3.42
3.35	3.35	2.23
-0.01	-0.01	2.27
3.42	3.42	3.54
4.42	4.42	2.55
0.39	0.39	2.03
1.97	1.97	3.30
4.89	4.89	2.94
1.48	1.48	1.99
0.78	0.78	2.87
4.72	4.72	3.31
2.82	2.82	2.13
0.09	0.09	2.41
3.93	3.93	3.53
4.09	4.09	2.41
0.13	0.13	2.10
2.58	2.58	3.43
4.80	4.80	2.77
0.99	0.99	1.98
1.20	1.20	3.06
4.89	4.89	3.16
2.27	2.27	2.05
0.27	0.27	2.59
4.32	4.32	3.48
3.60	3.60	2.28
0.01	0.01	2.20
3.12	3.12	3.52
4.57	4.57	2.62
0.55	0.55	2.00
1.66	1.66	3.22
4.91	4.91	3.02
1.76	1.76	2.01
0.57	0.57	2.75
4.57	4.57	3.38
3.12	3.12	2.18
0.03	0.03	2.32
3.60	3.60	3.54
4.32	4.32	2.50
0.28	0.28	2.04
2.23	2.23	3.35
4.87	4.87	2.87
1.31	1.31	1.99
0.87	0.87	2.93
4.80	4.80	3.27
2.64	2.64	2.11
0.12	0.12	2.46
3.99	3.99	3.53
3.94	3.94	2.38
0.10	0.10	2.12
2.72	2.72	3.45
4.75	4.75	2.75
0.87	0.87	1.99
1.25	1.25	3.09
4.89	4.89	3.14
2.23	2.23	2.05
0.28	0.28	2.60
4.32	4.32	3.47
3.60	3.60	2.28
0.03	0.03	2.20
3.12	3.12	3.52
4.59	4.59	2.63
0.60	0.60	2.00
1.66	1.66	3.21
4.91	4.91	3.04
1.78	1.78	2.01
0.51	0.51	2.73
4.57	4.57	3.39
3.23	3.23	2.20
0.00	0.00	2.30
3.56	3.56	3.54
4.38	4.38	2.53
0.33	0.33	2.03
2.11	2.11	3.32
4.90	4.90	2.91
1.42	1.42	1.99
0.78	0.78	2.88
4.72	4.72	3.31
2.84	2.84	2.13
0.06	0.06	2.40
3.85	3.85	3.53
4.09	4.09	2.42
0.16	0.16	2.08
2.46	2.46	3.41
4.83	4.83	2.81
1.08	1.08	1.98
1.03	1.03	3.01
4.81	4.81	3.21
2.46	2.46	2.07
0.18	0.18	2.51
4.15	4.15	3.51
3.85	3.85	2.34
0.07	0.07	2.14
2.88	2.88	3.47
4.72	4.72	2.70
0.82	0.82	1.99
1.36	1.36	3.11
4.90	4.90	3.12
2.17	2.17	2.04
0.33	0.33	2.63
4.35	4.35	3.46
3.57	3.57	2.27
0.00	0.00	2.21
3.24	3.24	3.52
4.57	4.57	2.62
0.55	0.55	2.00
1.66	1.66	3.21
4.91	4.91	3.02
1.85	1.85	2.01
0.49	0.49	2.73
4.51	4.51	3.40
3.30	3.30	2.21
0.00	0.00	2.29
3.45	3.45	3.53
4.42	4.42	2.54
0.39	0.39	2.03
1.97	1.97	3.29
4.91	4.91	2.95
1.54	1.54	1.99
0.69	0.69	2.82
4.65	4.65	3.33
3.00	3.00	2.15
0.03	0.03	2.35
3.72	3.72	3.53
4.24	4.24	2.46
0.22	0.22	2.06
2.27	2.27	3.36
4.89	4.89	2.86
1.27	1.27	1.99
0.93	0.93	2.93
4.80	4.80	3.27
2.72	2.72	2.11
0.10	0.10	2.44
3.99	3.99	3.53
4.03	4.03	2.39
0.13	0.13	2.11
2.58	2.58	3.43
4.80	4.80	2.77
1.03	1.03	1.98
1.14	1.14	3.03
4.86	4.86	3.19
2.42	2.42	2.07
0.21	0.21	2.53
4.20	4.20	3.49
3.82	3.82	2.32
0.03	0.03	2.15
2.90	2.90	3.48
4.68	4.68	2.69
0.78	0.78	1.98
1.36	1.36	3.13
4.90	4.90	3.11
2.11	2.11	2.04
0.33	0.33	2.63
4.36	4.36	3.45
3.51	3.51	2.27
0.00	0.00	2.21
3.18	3.18	3.52
4.57	4.57	2.61
0.60	0.60	2.00
1.66	1.66	3.21
4.91	4.91	3.04
1.85	1.85	2.02
0.46	0.46	2.72
4.51	4.51	3.41
3.30	3.30	2.22
0.00	0.00	2.27
3.42	3.42	3.54
4.44	4.44	2.56
0.42	0.42	2.02
1.85	1.85	3.27
4.91	4.91	2.97
1.60	1.60	2.01
0.60	0.60	2.80
4.59	4.59	3.37
3.12	3.12	2.17
0.01	0.01	2.32
3.60	3.60	3.54
4.35	4.35	2.50
0.34	0.34	2.04
2.11	2.11	3.33
4.90	4.90	2.91
1.43	1.43	1.99
0.75	0.75	2.86
4.69	4.69	3.33
2.96	2.96	2.15
0.03	0.03	2.38
3.75	3.75	3.54
4.24	4.24	2.46
0.22	0.22	2.06
2.27	2.27	3.38
4.87	4.87	2.86
