Analog in 1	Analog in 1	Analog in 2
U1/V	U1/V	U2/V

-0.01	-0.01	2.24
2.64	2.64	3.45
4.89	4.89	2.85
1.97	1.97	2.00
0.15	0.15	2.55
3.76	3.76	3.53
4.57	4.57	2.55
0.97	0.97	1.98
0.78	0.78	2.91
4.45	4.45	3.38
3.85	3.85	2.29
0.27	0.27	2.07
1.72	1.72	3.25
4.89	4.89	3.11
2.82	2.82	2.10
-0.01	-0.01	2.29
2.90	2.90	3.49
4.87	4.87	2.79
1.72	1.72	1.99
0.27	0.27	2.62
3.91	3.91	3.51
4.41	4.41	2.50
0.84	0.84	1.99
0.91	0.91	3.01
4.59	4.59	3.34
3.66	3.66	2.24
0.15	0.15	2.11
1.96	1.96	3.32
4.90	4.90	3.04
2.58	2.58	2.06
0.01	0.01	2.36
3.12	3.12	3.52
4.80	4.80	2.73
1.55	1.55	1.98
0.37	0.37	2.70
4.08	4.08	3.50
4.32	4.32	2.44
0.60	0.60	2.00
1.14	1.14	3.07
4.69	4.69	3.29
3.45	3.45	2.20
0.07	0.07	2.15
2.23	2.23	3.38
4.91	4.91	2.96
2.33	2.33	2.03
0.04	0.04	2.43
3.42	3.42	3.53
4.74	4.74	2.65
1.25	1.25	1.98
0.51	0.51	2.80
4.27	4.27	3.45
4.14	4.14	2.37
0.42	0.42	2.03
1.36	1.36	3.16
4.80	4.80	3.20
3.14	3.14	2.14
0.01	0.01	2.22
2.52	2.52	3.44
4.90	4.90	2.88
2.02	2.02	2.02
0.13	0.13	2.52
3.62	3.62	3.53
4.59	4.59	2.57
0.99	0.99	1.98
0.73	0.73	2.89
4.45	4.45	3.40
3.85	3.85	2.30
0.27	0.27	2.07
1.66	1.66	3.25
4.86	4.86	3.12
2.84	2.84	2.10
0.00	0.00	2.29
2.90	2.90	3.48
4.86	4.86	2.78
1.72	1.72	1.99
0.27	0.27	2.62
3.91	3.91	3.51
4.41	4.41	2.49
0.73	0.73	1.99
0.99	0.99	3.01
4.65	4.65	3.33
3.60	3.60	2.23
0.13	0.13	2.13
2.02	2.02	3.35
4.91	4.91	3.01
2.54	2.54	2.05
0.01	0.01	2.38
3.23	3.23	3.52
4.75	4.75	2.69
1.37	1.37	1.98
0.42	0.42	2.74
4.15	4.15	3.47
4.20	4.20	2.39
0.46	0.46	2.02
1.24	1.24	3.13
4.77	4.77	3.23
3.24	3.24	2.16
0.04	0.04	2.20
2.46	2.46	3.42
4.91	4.91	2.91
2.09	2.09	2.01
0.10	0.10	2.49
3.62	3.62	3.54
4.63	4.63	2.59
1.02	1.02	1.97
0.69	0.69	2.89
4.50	4.50	3.41
3.91	3.91	2.31
0.27	0.27	2.06
1.66	1.66	3.25
4.86	4.86	3.11
2.84	2.84	2.09
0.00	0.00	2.29
2.90	2.90	3.49
4.87	4.87	2.78
1.69	1.69	1.98
0.27	0.27	2.64
3.96	3.96	3.51
4.38	4.38	2.47
0.69	0.69	1.99
1.03	1.03	3.03
4.65	4.65	3.30
3.56	3.56	2.22
0.10	0.10	2.13
2.11	2.11	3.36
4.93	4.93	2.99
2.46	2.46	2.04
0.03	0.03	2.41
3.36	3.36	3.52
4.75	4.75	2.66
1.31	1.31	1.97
0.51	0.51	2.78
4.24	4.24	3.45
4.12	4.12	2.37
0.43	0.43	2.02
1.36	1.36	3.15
4.80	4.80	3.20
3.18	3.18	2.14
0.01	0.01	2.21
2.58	2.58	3.43
4.89	4.89	2.88
2.03	2.03	2.01
0.13	0.13	2.52
3.60	3.60	3.53
4.59	4.59	2.56
0.99	0.99	1.97
0.75	0.75	2.90
4.45	4.45	3.39
3.85	3.85	2.29
0.27	0.27	2.06
1.72	1.72	3.26
4.87	4.87	3.10
2.84	2.84	2.08
0.00	0.00	2.29
2.90	2.90	3.48
4.86	4.86	2.77
1.72	1.72	1.98
0.27	0.27	2.64
3.90	3.90	3.51
4.38	4.38	2.47
0.73	0.73	1.99
0.99	0.99	3.01
4.65	4.65	3.32
3.57	3.57	2.22
0.12	0.12	2.13
2.11	2.11	3.34
4.91	4.91	3.01
2.46	2.46	2.05
0.04	0.04	2.39
3.30	3.30	3.52
4.75	4.75	2.68
1.37	1.37	1.98
0.46	0.46	2.74
4.20	4.20	3.46
4.20	4.20	2.39
0.46	0.46	2.01
1.25	1.25	3.12
4.78	4.78	3.22
3.24	3.24	2.15
0.04	0.04	2.19
2.46	2.46	3.42
4.91	4.91	2.90
2.11	2.11	2.01
0.12	0.12	2.49
3.57	3.57	3.53
4.63	4.63	2.58
1.02	1.02	1.98
0.69	0.69	2.88
4.42	4.42	3.40
3.91	3.91	2.31
0.28	0.28	2.06
1.64	1.64	3.24
4.86	4.86	3.12
2.84	2.84	2.10
-0.01	-0.01	2.29
2.90	2.90	3.48
4.86	4.86	2.78
1.72	1.72	1.98
0.27	0.27	2.63
3.99	3.99	3.51
4.38	4.38	2.47
0.73	0.73	2.00
1.03	1.03	3.02
4.66	4.66	3.31
3.57	3.57	2.21
0.12	0.12	2.13
2.17	2.17	3.34
4.91	4.91	2.98
2.41	2.41	2.04
0.03	0.03	2.41
3.35	3.35	3.53
4.74	4.74	2.65
1.30	1.30	1.98
0.51	0.51	2.77
4.32	4.32	3.45
4.08	4.08	2.37
0.37	0.37	2.03
1.42	1.42	3.17
4.80	4.80	3.19
3.12	3.12	2.13
0.01	0.01	2.23
2.58	2.58	3.45
4.90	4.90	2.85
1.97	1.97	2.00
0.18	0.18	2.54
3.76	3.76	3.52
4.51	4.51	2.53
0.87	0.87	1.98
0.84	0.84	2.93
4.56	4.56	3.35
3.73	3.73	2.26
0.22	0.22	2.09
1.91	1.91	3.30
4.89	4.89	3.05
2.64	2.64	2.06
0.00	0.00	2.35
3.12	3.12	3.51
4.81	4.81	2.71
1.48	1.48	1.98
0.39	0.39	2.72
4.08	4.08	3.48
4.24	4.24	2.41
0.57	0.57	2.02
1.20	1.20	3.11
4.74	4.74	3.25
3.30	3.30	2.17
